Scenario,Month,Illuminance(lux)
msp_102_102_1VB-15, 01,1807.78
msp_102_102_1VB-15, 02,1231.17
msp_102_102_1VB-15, 03,1307.43
msp_102_102_1VB-15, 04,817.5
msp_102_102_1VB-15, 05,831.93
msp_102_102_1VB-15, 06,856.88
msp_102_102_1VB-15, 07,837.94
msp_102_102_1VB-15, 08,871.28
msp_102_102_1VB-15, 09,998.82
msp_102_102_1VB-15, 10,1351.75
msp_102_102_1VB-15, 11,1028.26
msp_102_102_1VB-15, 12,1568.43
msp_102_102_1VB-30, 01,1878.73
msp_102_102_1VB-30, 02,1722.11
msp_102_102_1VB-30, 03,2536.71
msp_102_102_1VB-30, 04,1338.07
msp_102_102_1VB-30, 05,1054.0
msp_102_102_1VB-30, 06,1100.62
msp_102_102_1VB-30, 07,1077.48
msp_102_102_1VB-30, 08,1240.64
msp_102_102_1VB-30, 09,2429.58
msp_102_102_1VB-30, 10,2358.7
msp_102_102_1VB-30, 11,1089.95
msp_102_102_1VB-30, 12,1506.92
msp_102_102_1VB-45, 01,1299.49
msp_102_102_1VB-45, 02,1590.18
msp_102_102_1VB-45, 03,3120.11
msp_102_102_1VB-45, 04,1730.21
msp_102_102_1VB-45, 05,1124.08
msp_102_102_1VB-45, 06,1219.88
msp_102_102_1VB-45, 07,1186.01
msp_102_102_1VB-45, 08,1434.95
msp_102_102_1VB-45, 09,3621.38
msp_102_102_1VB-45, 10,2550.51
msp_102_102_1VB-45, 11,813.46
msp_102_102_1VB-45, 12,992.9
msp_102_102_1VB-60, 01,618.26
msp_102_102_1VB-60, 02,907.52
msp_102_102_1VB-60, 03,2065.65
msp_102_102_1VB-60, 04,1293.59
msp_102_102_1VB-60, 05,814.44
msp_102_102_1VB-60, 06,981.52
msp_102_102_1VB-60, 07,945.1
msp_102_102_1VB-60, 08,1060.98
msp_102_102_1VB-60, 09,2612.29
msp_102_102_1VB-60, 10,1490.36
msp_102_102_1VB-60, 11,429.91
msp_102_102_1VB-60, 12,441.58
msp_102_102_1VB-75, 01,148.46
msp_102_102_1VB-75, 02,251.07
msp_102_102_1VB-75, 03,568.75
msp_102_102_1VB-75, 04,525.31
msp_102_102_1VB-75, 05,367.59
msp_102_102_1VB-75, 06,337.22
msp_102_102_1VB-75, 07,329.28
msp_102_102_1VB-75, 08,439.98
msp_102_102_1VB-75, 09,782.23
msp_102_102_1VB-75, 10,361.67
msp_102_102_1VB-75, 11,133.67
msp_102_102_1VB-75, 12,101.88
msp_102_102_1VB0, 01,1160.03
msp_102_102_1VB0, 02,654.26
msp_102_102_1VB0, 03,615.69
msp_102_102_1VB0, 04,613.03
msp_102_102_1VB0, 05,616.04
msp_102_102_1VB0, 06,628.95
msp_102_102_1VB0, 07,612.1
msp_102_102_1VB0, 08,636.52
msp_102_102_1VB0, 09,600.63
msp_102_102_1VB0, 10,557.9
msp_102_102_1VB0, 11,688.75
msp_102_102_1VB0, 12,1039.21
msp_102_102_1VB15, 01,587.83
msp_102_102_1VB15, 02,438.27
msp_102_102_1VB15, 03,443.74
msp_102_102_1VB15, 04,457.93
msp_102_102_1VB15, 05,450.62
msp_102_102_1VB15, 06,457.86
msp_102_102_1VB15, 07,444.29
msp_102_102_1VB15, 08,463.34
msp_102_102_1VB15, 09,455.76
msp_102_102_1VB15, 10,405.95
msp_102_102_1VB15, 11,402.53
msp_102_102_1VB15, 12,540.58
msp_102_102_1VB30, 01,231.15
msp_102_102_1VB30, 02,292.45
msp_102_102_1VB30, 03,310.05
msp_102_102_1VB30, 04,308.47
msp_102_102_1VB30, 05,296.86
msp_102_102_1VB30, 06,299.87
msp_102_102_1VB30, 07,290.21
msp_102_102_1VB30, 08,303.99
msp_102_102_1VB30, 09,311.09
msp_102_102_1VB30, 10,280.93
msp_102_102_1VB30, 11,198.24
msp_102_102_1VB30, 12,171.24
msp_102_102_1VB45, 01,146.96
msp_102_102_1VB45, 02,183.84
msp_102_102_1VB45, 03,191.53
msp_102_102_1VB45, 04,185.74
msp_102_102_1VB45, 05,176.04
msp_102_102_1VB45, 06,176.39
msp_102_102_1VB45, 07,170.5
msp_102_102_1VB45, 08,179.95
msp_102_102_1VB45, 09,189.53
msp_102_102_1VB45, 10,174.38
msp_102_102_1VB45, 11,125.15
msp_102_102_1VB45, 12,107.24
msp_102_102_1VB60, 01,83.37
msp_102_102_1VB60, 02,103.84
msp_102_102_1VB60, 03,106.68
msp_102_102_1VB60, 04,103.41
msp_102_102_1VB60, 05,98.3
msp_102_102_1VB60, 06,97.75
msp_102_102_1VB60, 07,94.48
msp_102_102_1VB60, 08,100.16
msp_102_102_1VB60, 09,105.61
msp_102_102_1VB60, 10,97.67
msp_102_102_1VB60, 11,70.6
msp_102_102_1VB60, 12,60.59
msp_102_102_1VB75, 01,34.59
msp_102_102_1VB75, 02,44.1
msp_102_102_1VB75, 03,46.94
msp_102_102_1VB75, 04,46.97
msp_102_102_1VB75, 05,45.26
msp_102_102_1VB75, 06,44.35
msp_102_102_1VB75, 07,42.8
msp_102_102_1VB75, 08,45.44
msp_102_102_1VB75, 09,46.76
msp_102_102_1VB75, 10,42.17
msp_102_102_1VB75, 11,29.47
msp_102_102_1VB75, 12,25.03
msp_102_102_base, 01,2378.4
msp_102_102_base, 02,2217.68
msp_102_102_base, 03,4026.99
msp_102_102_base, 04,2037.58
msp_102_102_base, 05,1113.74
msp_102_102_base, 06,1134.01
msp_102_102_base, 07,1127.42
msp_102_102_base, 08,1626.96
msp_102_102_base, 09,4533.54
msp_102_102_base, 10,3282.67
msp_102_102_base, 11,1397.44
msp_102_102_base, 12,1963.29
msp_102_102_cellularHT, 01,637.32
msp_102_102_cellularHT, 02,841.87
msp_102_102_cellularHT, 03,954.44
msp_102_102_cellularHT, 04,1062.15
msp_102_102_cellularHT, 05,1064.57
msp_102_102_cellularHT, 06,1087.45
msp_102_102_cellularHT, 07,1045.91
msp_102_102_cellularHT, 08,1052.74
msp_102_102_cellularHT, 09,992.69
msp_102_102_cellularHT, 10,827.3
msp_102_102_cellularHT, 11,550.53
msp_102_102_cellularHT, 12,456.76
msp_102_102_cellularLT, 01,275.63
msp_102_102_cellularLT, 02,361.34
msp_102_102_cellularLT, 03,407.36
msp_102_102_cellularLT, 04,454.19
msp_102_102_cellularLT, 05,455.62
msp_102_102_cellularLT, 06,467.03
msp_102_102_cellularLT, 07,449.03
msp_102_102_cellularLT, 08,450.45
msp_102_102_cellularLT, 09,424.12
msp_102_102_cellularLT, 10,352.71
msp_102_102_cellularLT, 11,237.25
msp_102_102_cellularLT, 12,198.3
msp_102_2011_1VB-15, 01,1550.4
msp_102_2011_1VB-15, 02,1045.37
msp_102_2011_1VB-15, 03,1106.55
msp_102_2011_1VB-15, 04,691.12
msp_102_2011_1VB-15, 05,704.37
msp_102_2011_1VB-15, 06,725.99
msp_102_2011_1VB-15, 07,710.07
msp_102_2011_1VB-15, 08,737.89
msp_102_2011_1VB-15, 09,844.49
msp_102_2011_1VB-15, 10,1145.52
msp_102_2011_1VB-15, 11,880.05
msp_102_2011_1VB-15, 12,1350.04
msp_102_2011_1VB-15-a, 01,1550.4
msp_102_2011_1VB-15-a, 02,1045.37
msp_102_2011_1VB-15-a, 03,1106.55
msp_102_2011_1VB-15-a, 04,691.12
msp_102_2011_1VB-15-a, 05,704.37
msp_102_2011_1VB-15-a, 06,725.99
msp_102_2011_1VB-15-a, 07,710.07
msp_102_2011_1VB-15-a, 08,737.89
msp_102_2011_1VB-15-a, 09,844.49
msp_102_2011_1VB-15-a, 10,1145.52
msp_102_2011_1VB-15-a, 11,880.05
msp_102_2011_1VB-15-a, 12,1350.04
msp_102_2011_1VB-30, 01,1608.65
msp_102_2011_1VB-30, 02,1461.22
msp_102_2011_1VB-30, 03,2143.83
msp_102_2011_1VB-30, 04,1129.75
msp_102_2011_1VB-30, 05,893.77
msp_102_2011_1VB-30, 06,933.73
msp_102_2011_1VB-30, 07,914.1
msp_102_2011_1VB-30, 08,1050.14
msp_102_2011_1VB-30, 09,2046.13
msp_102_2011_1VB-30, 10,1997.44
msp_102_2011_1VB-30, 11,930.76
msp_102_2011_1VB-30, 12,1294.62
msp_102_2011_1VB-30-a, 01,1608.65
msp_102_2011_1VB-30-a, 02,1461.22
msp_102_2011_1VB-30-a, 03,2143.83
msp_102_2011_1VB-30-a, 04,1129.75
msp_102_2011_1VB-30-a, 05,893.77
msp_102_2011_1VB-30-a, 06,933.73
msp_102_2011_1VB-30-a, 07,914.1
msp_102_2011_1VB-30-a, 08,1050.14
msp_102_2011_1VB-30-a, 09,2046.13
msp_102_2011_1VB-30-a, 10,1997.44
msp_102_2011_1VB-30-a, 11,930.76
msp_102_2011_1VB-30-a, 12,1294.62
msp_102_2011_1VB-45, 01,1108.14
msp_102_2011_1VB-45, 02,1345.0
msp_102_2011_1VB-45, 03,2625.5
msp_102_2011_1VB-45, 04,1451.06
msp_102_2011_1VB-45, 05,948.14
msp_102_2011_1VB-45, 06,1030.67
msp_102_2011_1VB-45, 07,1001.85
msp_102_2011_1VB-45, 08,1206.52
msp_102_2011_1VB-45, 09,3036.0
msp_102_2011_1VB-45, 10,2153.87
msp_102_2011_1VB-45, 11,690.91
msp_102_2011_1VB-45, 12,849.49
msp_102_2011_1VB-45-a, 01,1108.14
msp_102_2011_1VB-45-a, 02,1345.0
